0,0,3
0,1,4
0,2,4
0,3,4
1,0,4
1,1,4
1,2,3
1,3,4
2,0,3
2,1,3
2,2,2
2,3,3
3,0,4
3,1,4
3,2,4
3,3,4
4,0,2
4,1,1
4,2,2
4,3,2
5,0,2
5,1,0
5,2,1
5,3,2
6,0,1
6,1,0
6,2,1
6,3,1
7,0,4
7,1,4
7,2,4
7,3,4
8,0,2
8,1,1
8,2,2
8,3,2
9,0,2
9,1,2
9,2,2
9,3,1
10,0,3
10,1,4
10,2,4
10,3,4
11,0,4
11,1,3
11,2,4
11,3,4
12,0,4
12,1,4
12,2,4
12,3,4
13,0,4
13,1,4
13,2,4
13,3,4
14,0,4
14,1,4
14,2,4
14,3,4
15,0,1
15,1,0
15,2,2
15,3,2
16,0,3
16,1,2
16,2,3
16,3,3
17,0,4
17,1,4
17,2,4
17,3,4
18,0,2
18,1,1
18,2,2
18,3,3
19,0,2
19,1,0
19,2,2
19,3,3
20,0,2
20,1,1
20,2,2
20,3,3
21,0,2
21,1,2
21,2,2
21,3,2
22,0,2
22,1,1
22,2,1
22,3,2
23,0,4
23,1,4
23,2,4
23,3,3
24,0,3
24,1,3
24,2,3
24,3,4
25,0,4
25,1,3
25,2,4
25,3,4
26,0,3
26,1,2
26,2,3
26,3,3
27,0,2
27,1,1
27,2,2
27,3,3
28,0,1
28,1,1
28,2,2
28,3,3
29,0,2
29,1,1
29,2,2
29,3,2
30,0,2
30,1,1
30,2,3
30,3,3
31,0,4
31,1,4
31,2,4
31,3,3
32,0,2
32,1,1
32,2,2
32,3,2
33,0,2
33,1,1
33,2,2
33,3,3
34,0,2
34,1,1
34,2,2
34,3,3
35,0,2
35,1,1
35,2,2
35,3,2
36,0,3
36,1,3
36,2,3
36,3,4
37,0,2
37,1,3
37,2,2
37,3,4
38,0,2
38,1,1
38,2,1
38,3,3
39,0,2
39,1,1
39,2,2
39,3,2
40,0,4
40,1,3
40,2,3
40,3,4
41,0,2
41,1,1
41,2,1
41,3,3
42,0,3
42,1,3
42,2,3
42,3,4
43,0,2
43,1,0
43,2,3
43,3,2
44,0,3
44,1,4
44,2,4
44,3,4
45,0,4
45,1,4
45,2,4
45,3,4
46,0,1
46,1,1
46,2,2
46,3,0
47,0,4
47,1,4
47,2,3
47,3,4
48,0,2
48,1,1
48,2,2
48,3,2
49,0,2
49,1,1
49,2,2
49,3,3
50,0,2
50,1,1
50,2,2
50,3,4
51,0,1
51,1,0
51,2,1
51,3,2
52,0,2
52,1,0
52,2,3
52,3,2
53,0,2
53,1,0
53,2,1
53,3,1
54,0,2
54,1,0
54,2,1
54,3,2
55,0,1
55,1,0
55,2,1
55,3,2
56,0,3
56,1,4
56,2,4
56,3,4
57,0,2
57,1,0
57,2,2
57,3,0
58,0,2
58,1,2
58,2,2
58,3,3
59,0,4
59,1,4
59,2,4
59,3,4
60,0,2
60,1,0
60,2,1
60,3,2
61,0,4
61,1,4
61,2,4
61,3,4
62,0,4
62,1,4
62,2,4
62,3,4
63,0,2
63,1,1
63,2,3
63,3,4
64,0,2
64,1,1
64,2,2
64,3,2
65,0,2
65,1,1
65,2,1
65,3,2
66,0,4
66,1,4
66,2,3
66,3,4
67,0,4
67,1,4
67,2,3
67,3,4
68,0,3
68,1,2
68,2,2
68,3,3
69,0,3
69,1,2
69,2,3
69,3,4
70,0,2
70,1,1
70,2,2
70,3,2
71,0,3
71,1,2
71,2,2
71,3,3
72,0,1
72,1,0
72,2,1
72,3,2
73,0,4
73,1,4
73,2,4
73,3,4
74,0,2
74,1,1
74,2,2
74,3,3
75,0,2
75,1,1
75,2,2
75,3,1
76,0,4
76,1,4
76,2,4
76,3,4
77,0,4
77,1,4
77,2,4
77,3,4
78,0,4
78,1,4
78,2,4
78,3,4
79,0,3
79,1,3
79,2,4
79,3,3
80,0,4
80,1,4
80,2,4
80,3,3
81,0,2
81,1,0
81,2,2
81,3,1
82,0,4
82,1,4
82,2,4
82,3,4
83,0,4
83,1,4
83,2,4
83,3,4
84,0,2
84,1,2
84,2,2
84,3,3
85,0,2
85,1,1
85,2,1
85,3,2
86,0,4
86,1,3
86,2,3
86,3,4
87,0,2
87,1,2
87,2,3
87,3,1
88,0,3
88,1,3
88,2,3
88,3,3
89,0,3
89,1,2
89,2,2
89,3,3
90,0,3
90,1,3
90,2,3
90,3,3
91,0,2
91,1,2
91,2,3
91,3,3
92,0,2
92,1,2
92,2,3
92,3,3
93,0,1
93,1,1
93,2,1
93,3,2
94,0,2
94,1,3
94,2,2
